target_id,callsign,timestamp,timestamp_source,time_source,message_seq,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,status_flags,validity_flags,latitude_code,longitude_code,altitude_code,speed_code,heading_code,vertical_rate_code,lat_valid,lon_valid,altitude_valid,speed_valid,heading_valid,vertical_rate_valid,callsign_valid,checksum,expected_checksum,message_valid,validation_errors,source
780abc,CES1234,1710000060,position_time,position_time,0,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,False,0,127,2824872,3512422,10800,2305,8600,32768,True,True,True,True,True,True,True,2677,2677,True,,raw_states.json
000001,TEST0001,1710000090,position_time,position_time,1,2.1457677235048322e-05,4.2915354470096645e-05,0.0,barometric,0.0,0.0,0.0,True,1,127,2097152,2097152,1000,0,0,32768,True,True,True,True,True,True,True,1954,1954,True,,raw_states.json
780def,,1710000120,last_contact_fallback,last_contact_fallback,2,30.27410036900052,120.1551390064094,7600.0,geometric,,270.0,-1.1999999999999886,False,6,55,2802589,3497060,8600,0,27000,32648,True,True,True,False,True,True,False,2661,2661,True,,raw_states.json
780bee,BADHEAD,1710000120,position_time,position_time,3,22.54311383798452,114.05789710471561,9000.0,barometric,220.0,,0.0,False,0,111,2622444,3426022,10000,2200,0,32768,True,True,True,True,False,True,True,2844,2844,True,,raw_states.json
,,,,,,,,,unknown,,,,False,,,,,,,,,False,False,False,False,False,False,False,,,False,LENGTH_ERROR,error_frame:LENGTH_ERROR
780abc,CES1234,1710000060,,,0,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,False,0,127,2824872,3512422,10800,2305,8600,32768,True,True,True,True,True,True,True,2796,2796,False,MAGIC_ERROR,error_frame:MAGIC_ERROR
780abc,CES1234,1710000060,,,0,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,False,0,127,2824872,3512422,10800,2305,8600,32768,True,True,True,True,True,True,True,2678,2678,False,VERSION_ERROR,error_frame:VERSION_ERROR
780abc,CES1234,1710000060,,,0,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,False,0,127,2824872,3512422,10800,2305,8600,32768,True,True,True,True,True,True,True,2678,2678,False,MESSAGE_TYPE_ERROR,error_frame:MESSAGE_TYPE_ERROR
780abc,CES1234,2599192508,,,0,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,False,0,127,2824872,3512422,10800,2305,8600,32768,True,True,True,True,True,True,True,2677,2730,False,CHECKSUM_ERROR,error_frame:CHECKSUM_ERROR
780abc,CES1234,1710000060,,,0,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,False,128,127,2824872,3512422,10800,2305,8600,32768,True,True,True,True,True,True,True,2805,2805,False,RESERVED_BITS_ERROR,error_frame:RESERVED_BITS_ERROR
780abc,CES1234,1710000060,,,0,,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,False,0,126,424,3512422,10800,2305,8600,32768,False,True,True,True,True,True,True,2608,2608,False,FLAG_VALUE_INCONSISTENCY,error_frame:FLAG_VALUE_INCONSISTENCY
