field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
lat,48.3902,True,3224725,0,48.390216443590276,True,1.6443590276082887e-05,True
lon,9.4747,True,2207540,1,9.474723213845039,True,2.3213845038227987e-05,True
altitude,11887.2,True,12887,2,11887.0,True,0.2000000000007276,True
speed,241.82,True,2418,3,241.8,True,0.01999999999998181,True
heading,152.78,True,15278,4,152.78,True,0.0,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,45.5435,True,3158392,0,45.543512235525185,True,1.2235525183257323e-05,True
lon,5.0463,True,2155945,1,5.046287786075538,True,1.2213924461157433e-05,True
altitude,10972.8,True,11973,2,10973.0,True,0.2000000000007276,True
speed,256.15,True,2561,3,256.1,True,0.049999999999954525,True
heading,109.96,True,10996,4,109.96000000000001,True,1.4210854715202004e-14,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,47.5864,True,3205995,0,47.58641185436531,True,1.1854365311592119e-05,True
lon,7.5318,True,2184903,1,7.531773455565798,True,2.6544434201802858e-05,True
altitude,,False,0,2,,False,,True
speed,12.35,True,123,3,12.3,True,0.049999999999998934,True
heading,300.94,True,30094,4,300.94,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,48.9159,True,3236974,0,48.91588662049452,True,1.337950548219169e-05,True
lon,9.0408,True,2202484,1,9.040763149443421,True,3.68505565795374e-05,True
altitude,11582.4,True,12582,2,11582.0,True,0.3999999999996362,True
speed,228.42,True,2284,3,228.4,True,0.01999999999998181,True
heading,300.9,True,30090,4,300.90000000000003,True,5.684341886080802e-14,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,48.6854,True,3231603,0,48.6853882516356,True,1.1748364400432365e-05,True
lon,9.2005,True,2204345,1,9.200494098781121,True,5.901218878889836e-06,True
altitude,,False,0,2,,False,,True
speed,1.29,True,13,3,1.3,True,0.010000000000000009,True
heading,70.31,True,7031,4,70.31,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,49.3885,True,3247987,0,49.38851341927369,True,1.3419273692250044e-05,True
lon,11.6329,True,2232685,1,11.63293639014637,True,3.639014637002447e-05,True
altitude,12192,True,13192,2,12192.0,True,0.0,True
speed,244.2,True,2442,3,244.20000000000002,True,2.842170943040401e-14,True
heading,293.59,True,29359,4,293.59000000000003,True,5.684341886080802e-14,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,48.5581,True,3228637,0,48.558101310277294,True,1.310277291111106e-06,True
lon,6.2995,True,2170546,1,6.299501967311386,True,1.967311385797643e-06,True
altitude,11887.2,True,12887,2,11887.0,True,0.2000000000007276,True
speed,233.12,True,2331,3,233.10000000000002,True,0.01999999999998181,True
heading,181.52,True,18152,4,181.52,True,0.0,True
vertical_rate,0,True,32768,5,0.0,True,0.0,True
lat,45.7544,True,3163306,0,45.75439828739124,True,1.7126087570318305e-06,True
lon,8.7707,True,2199338,1,8.770739739117545,True,3.973911754506787e-05,True
altitude,3429,True,4429,2,3429.0,True,0.0,True
speed,180.12,True,1801,3,180.10000000000002,True,0.01999999999998181,True
heading,147.72,True,14772,4,147.72,True,0.0,True
vertical_rate,-6.83,True,32085,5,-6.829999999999984,True,1.5987211554602254e-14,True
lat,47.4577,True,3202996,0,47.45770870630949,True,8.706309486683494e-06,True
lon,8.5626,True,2196913,1,8.562600269937576,True,2.699375762915679e-07,True
altitude,,False,0,2,,False,,True
speed,2.83,True,28,3,2.8000000000000003,True,0.029999999999999805,True
heading,272.81,True,27281,4,272.81,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4581,True,3203005,0,47.45809494449972,True,5.055500281514469e-06,True
lon,8.5502,True,2196769,1,8.550240647850188,True,4.064785018798034e-05,True
altitude,,False,0,2,,False,,True
speed,3.6,True,36,3,3.6,True,0.0,True
heading,275.62,True,27562,4,275.62,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4409,True,3202604,0,47.44088588735721,True,1.4112642787722507e-05,True
lon,8.5619,True,2196905,1,8.561913624266055,True,1.36242660548902e-05,True
altitude,,False,0,2,,False,,True
speed,2.83,True,28,3,2.8000000000000003,True,0.029999999999999805,True
heading,22.5,True,2250,4,22.5,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.458,True,3203003,0,47.45800911379078,True,9.113790781611897e-06,True
lon,8.5506,True,2196773,1,8.550583970685949,True,1.602931405031427e-05,True
altitude,,False,0,2,,False,,True
speed,4.63,True,46,3,4.6000000000000005,True,0.02999999999999936,True
heading,278.44,True,27844,4,278.44,True,0.0,True
vertical_rate,,False,0,5,,False,,True
lat,47.4568,True,3202975,0,47.45680748386562,True,7.483865616109142e-06,True
lon,8.5628,True,2196915,1,8.562771931355456,True,2.8068644542855736e-05,True
altitude,,False,0,2,,False,,True
speed,0.26,True,3,3,0.30000000000000004,True,0.040000000000000036,True
heading,300.94,True,30094,4,300.94,True,0.0,True
