snapshot_index,snapshot_time,icao24,callsign,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude
1,1786673155,a48850,UPS266  ,1786673155,1786673155,9.4747,48.3902,11887.2,False,241.82,152.78,0,12458.7
1,1786673155,896175,UAE4M   ,1786673154,1786673155,5.0463,45.5435,10972.8,False,256.15,109.96,0,11567.16
1,1786673155,3849ff,M02     ,1786673154,1786673154,7.5318,47.5864,,True,12.35,300.94,,
1,1786673155,407fac,TOM8VC  ,1786673154,1786673154,9.0408,48.9159,11582.4,False,228.42,300.9,0,12176.76
1,1786673155,3c815e,F172    ,1786673142,1786673143,9.2005,48.6854,,True,1.29,70.31,,
1,1786673155,7c8066,QFA219  ,1786673154,1786673154,11.6329,49.3885,12192,False,244.2,293.59,0,12778.74
1,1786673155,45ce47,SRR6382 ,1786673154,1786673155,6.2995,48.5581,11887.2,False,233.12,181.52,0,12473.94
1,1786673155,3c5434,BCS6GA  ,1786673154,1786673154,8.7707,45.7544,3429,False,180.12,147.72,-6.83,3726.18
1,1786673155,4b5d62,VIKTOR21,1786673153,1786673153,8.5626,47.4577,,True,2.83,272.81,,
1,1786673155,4b5d54,GALA6   ,1786673154,1786673154,8.5502,47.4581,,True,3.6,275.62,,
1,1786673155,4b5d6e,VIKTOR31,1786673139,1786673142,8.5619,47.4409,,True,2.83,22.5,,
1,1786673155,4b5c39,GALA21  ,1786673149,1786673149,8.5506,47.458,,True,4.63,278.44,,
1,1786673155,4b5c1b,URSULA8 ,1786673153,1786673154,8.5628,47.4568,,True,0.26,300.94,,
1,1786673155,48ea3a,ENT1511 ,1786673155,1786673155,8.0877,47.9068,10972.8,False,229.54,225.45,0,11551.92
1,1786673155,424cbf,MACOR   ,1786673154,1786673154,11.2504,46.8991,9883.14,False,244.26,222.87,-8.13,10424.16
1,1786673155,a61c53,THY6091 ,1786673154,1786673154,10.8344,49.3817,10363.2,False,243.21,288.63,0,10888.98
1,1786673155,8966d5,ETD2    ,1786673154,1786673155,7.5863,47.8922,11277.6,False,259.27,104.01,0,11856.72
1,1786673155,4d253b,EWG40C  ,1786673154,1786673154,5.7932,46.5527,11277.6,False,224.65,200.51,0,11894.82
1,1786673155,45b534,GAV596  ,1786673153,1786673154,9.474,48.7181,11582.4,False,222.93,302.37,0,12184.38
1,1786673155,4d240c,EWG53L  ,1786673153,1786673154,10.6347,49.244,5189.22,False,186.49,248.81,10.08,5524.5
1,1786673155,ad35c8,N950MP  ,1786673154,1786673154,11.2781,45.9506,13716,False,255.47,118.11,0,14356.08
1,1786673155,3889ff,LA2     ,1786673155,1786673155,5.0917,45.7174,,True,5.66,171.56,,
1,1786673155,4b17fd,SWR7DC  ,1786673098,1786673154,8.5674,47.4443,,True,0.26,244.69,,
2,1786673160,a48850,UPS266  ,1786673159,1786673160,9.4818,48.3811,11887.2,False,241.82,152.78,0,12458.7
2,1786673160,896175,UAE4M   ,1786673159,1786673159,5.0616,45.5396,10972.8,False,255.67,110,0,11567.16
2,1786673160,3849ff,M02     ,1786673159,1786673159,7.5312,47.5871,,True,18.52,334.69,,
2,1786673160,407fac,TOM8VC  ,1786673158,1786673159,9.0286,48.9207,11582.4,False,228.42,300.9,0,12176.76
2,1786673160,3c815e,F172    ,1786673142,1786673143,9.2005,48.6854,,True,1.29,70.31,,
2,1786673160,7c8066,QFA219  ,1786673159,1786673160,11.6172,49.3929,12184.38,False,244.2,293.59,0,12771.12
2,1786673160,45ce47,SRR6382 ,1786673160,1786673160,6.2991,48.5472,11887.2,False,233.64,181.51,0,12473.94
2,1786673160,3c5434,BCS6GA  ,1786673159,1786673159,8.7767,45.7476,3398.52,False,176.54,148.95,-6.5,3695.7
2,1786673160,4b5d62,VIKTOR21,1786673156,1786673156,8.5625,47.4577,,True,2.83,272.81,,
2,1786673160,4b5d54,GALA6   ,1786673159,1786673159,8.5499,47.4581,,True,4.12,275.62,,
2,1786673160,4b5d6e,VIKTOR31,1786673158,1786673158,8.5624,47.441,,True,2.83,154.69,,
