seq,target_id,timestamp,message_seq,frame_length,checksum_ok,message_valid,validation_errors
0,a48850,1786673155,0,41,True,True,
1,896175,1786673154,1,41,True,True,
2,3849ff,1786673154,2,41,True,True,
3,407fac,1786673154,3,41,True,True,
4,3c815e,1786673142,4,41,True,True,
5,7c8066,1786673154,5,41,True,True,
6,45ce47,1786673154,6,41,True,True,
7,3c5434,1786673154,7,41,True,True,
8,4b5d62,1786673153,8,41,True,True,
9,4b5d54,1786673154,9,41,True,True,
10,4b5d6e,1786673139,10,41,True,True,
11,4b5c39,1786673149,11,41,True,True,
12,4b5c1b,1786673153,12,41,True,True,
13,48ea3a,1786673155,13,41,True,True,
14,424cbf,1786673154,14,41,True,True,
15,a61c53,1786673154,15,41,True,True,
16,8966d5,1786673154,16,41,True,True,
17,4d253b,1786673154,17,41,True,True,
18,45b534,1786673153,18,41,True,True,
19,4d240c,1786673153,19,41,True,True,
20,ad35c8,1786673154,20,41,True,True,
21,3889ff,1786673155,21,41,True,True,
22,4b17fd,1786673098,22,41,True,True,
23,a48850,1786673159,23,41,True,True,
24,896175,1786673159,24,41,True,True,
25,3849ff,1786673159,25,41,True,True,
26,407fac,1786673158,26,41,True,True,
27,3c815e,1786673142,27,41,True,True,
28,7c8066,1786673159,28,41,True,True,
29,45ce47,1786673160,29,41,True,True,
30,3c5434,1786673159,30,41,True,True,
31,4b5d62,1786673156,31,41,True,True,
32,4b5d54,1786673159,32,41,True,True,
33,4b5d6e,1786673158,33,41,True,True,
34,4b5c39,1786673156,34,41,True,True,
35,4b5c1b,1786673154,35,41,True,True,
36,440b61,1786673159,36,41,True,True,
37,48ea3a,1786673159,37,41,True,True,
38,424cbf,1786673159,38,41,True,True,
39,a61c53,1786673158,39,41,True,True,
40,8966d5,1786673159,40,41,True,True,
41,4d253b,1786673159,41,41,True,True,
42,45b534,1786673158,42,41,True,True,
43,4d240c,1786673159,43,41,True,True,
44,ad35c8,1786673159,44,41,True,True,
45,3889ff,1786673159,45,41,True,True,
46,4b17fd,1786673098,46,41,True,True,
47,a48850,1786673173,47,41,True,True,
48,896175,1786673173,48,41,True,True,
49,3849ff,1786673173,49,41,True,True,
50,407fac,1786673172,50,41,True,True,
51,3c815e,1786673173,51,41,True,True,
52,7c8066,1786673173,52,41,True,True,
53,45ce47,1786673173,53,41,True,True,
54,3c5434,1786673173,54,41,True,True,
55,4b5d62,1786673173,55,41,True,True,
56,4b5d54,1786673173,56,41,True,True,
57,4b5d6e,1786673163,57,41,True,True,
58,4b5c39,1786673173,58,41,True,True,
59,4b5c1b,1786673172,59,41,True,True,
60,440b61,1786673173,60,41,True,True,
61,48ea3a,1786673174,61,41,True,True,
62,424cbf,1786673173,62,41,True,True,
63,a61c53,1786673173,63,41,True,True,
64,8966d5,1786673173,64,41,True,True,
65,4d253b,1786673174,65,41,True,True,
66,45b534,1786673173,66,41,True,True,
67,4d240c,1786673173,67,41,True,True,
68,ad35c8,1786673174,68,41,True,True,
69,3889ff,1786673173,69,41,True,True,
70,4b17fd,1786673098,70,41,True,True,
